App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
Learn R Language Easy Way,FAMILY,4,17,2200000,10000,True,0.0,Everyone,Education,nan,2017-09-24,1.22,4.0.3
.R,TOOLS,4,259,203000,10000,True,0.0,Everyone,Tools,nan,2014-09-16,1.1.06,1.5
R-TYPE II,GAME,4,5682,37000000,50000,False,1.99,Everyone,Arcade,nan,2017-02-03,1.1.5,2.3.3
R Programming Solution,FAMILY,3,169,7700000,10000,True,0.0,Everyone,Education,nan,2016-06-20,1.0.3,4.0
Learn R - Programming Concepts,FAMILY,3,6,2900000,1000,True,0.0,Everyone,Education,nan,2017-04-25,1.0.1,4.0.3
Car Parking Nissan GT-R R35 Simulator,FAMILY,3,513,34000000,100000,True,0.0,Everyone,Simulation,nan,2017-05-12,1.0,4.0
R-net for Android,PRODUCTIVITY,3,48,58000,5000,True,0.0,Everyone,Productivity,nan,2013-07-08,1.0,3.1
R File Manager,TOOLS,4,17,6700000,50,True,0.0,Everyone,Tools,nan,2018-05-05,v2,4.4
R-TYPE,GAME,4,7687,23000000,100000,False,1.99,Everyone,Arcade,nan,2017-02-27,2.3.1,2.3.3
R Studio,SHOPPING,3,23,8900000,5000,True,0.0,Everyone,Shopping,nan,2016-08-07,2.1.1,4.0.3
Day R Premium,FAMILY,4,51068,57000000,100000,False,4.99,Teen,Role Playing,nan,2018-06-21,1.574,4.0.3
"Join R, Community Engagement",SOCIAL,4,144,12000000,1000,True,0.0,Teen,Social,nan,2017-01-31,1.0.12,4.0.3
R Bank,FINANCE,4,90,13000000,5000,True,0.0,Everyone,Finance,nan,2018-05-30,5.9.1.0,5.0
Elemental Knights R Platinum,FAMILY,3,2925,93000000,50000,False,4.77,Teen,Role Playing,nan,2018-01-08,6.2.1,4.1
Wonder5 Masters R,FAMILY,4,1655,83000000,100000,True,0.0,Everyone,Role Playing,nan,2018-02-08,1.1.52,4.3
Neon-R (Red),PERSONALIZATION,4,25,41000000,100,False,0.99,Everyone,Personalization,nan,2015-12-03,1.0,4.0.3
R. Lee Ermey's Official Sound,FAMILY,4,1696,2700000,100000,True,0.0,Mature 17+,Entertainment,nan,2012-09-19,1.4,2.1
SHAREit - Transfer & Share,TOOLS,4,7775146,17000000,500000000,True,0.0,Everyone,Tools,nan,2018-07-30,4.5.28_ww,4.1
S Launcher for Galaxy TouchWiz,PERSONALIZATION,4,11244,2200000,1000000,True,0.0,Everyone,Personalization,nan,2018-12-06,1.1.1,4.1
S Player - Lightest and Most Powerful Video Player,TOOLS,4,14224,7100000,1000000,True,0.0,Everyone,Tools,nan,2017-12-10,1.0.98_ww,2.3
Offroad Pickup Truck S,FAMILY,4,5178,20000000,1000000,True,0.0,Everyone,Simulation,nan,2017-10-10,1.7,2.3
S Launcher Pro for Galaxy,PERSONALIZATION,4,47,26000,1000,False,4.99,Everyone,Personalization,nan,2016-12-02,1.0,4.1
"S Photo Editor - Collage Maker , Photo Collage",PHOTOGRAPHY,4,972574,45000000,100000000,True,0.0,Everyone,Photography,nan,2018-03-08,2.31,4.1
Stupid Zombies,GAME,4,464900,33000000,10000000,True,0.0,Teen,Arcade,nan,2018-06-27,2.0.5,4.2
S’more - Earn Cash Rewards,PRODUCTIVITY,4,15097,14000000,1000000,True,0.0,Everyone,Productivity,nan,2018-07-23,1.6.0,4.2
PitchBlack S - Samsung Substratum Theme “For Oreo”,PERSONALIZATION,4,90,37000000,1000,False,1.99,Everyone,Personalization,nan,2018-04-08,12.6,7.0
Samsung Smart Switch Mobile,TOOLS,4,146913,24000000,100000000,True,0.0,Everyone,Tools,nan,2018-07-18,3.5.02.15,4.0
"S S9 Launcher - Galaxy S8/S9 Launcher, theme, cool",TOOLS,4,22503,6500000,1000000,True,0.0,Everyone,Tools,nan,2018-06-07,4.1,4.1
Five Nights at Freddy's 2 Demo,FAMILY,4,1503544,40000000,50000000,True,0.0,Teen,Strategy,nan,2014-11-15,1.07,2.3
Crime Wars S. Andreas,GAME,4,5785,93000000,500000,True,0.0,Teen,Racing,nan,2017-12-04,1.2,2.3
S Pen Keeper,TOOLS,3,560,314000,50000,True,0.0,Everyone,Tools,nan,2018-08-06,2.1.0.032,4.0.3
SH Script Runner,PRODUCTIVITY,3,334,3700000,50000,True,0.0,Everyone,Productivity,nan,2018-02-01,1.07,4.1
City Taxi Driver sim 2016: Cab simulator Game-s,FAMILY,4,16111,57000000,1000000,True,0.0,Everyone,Simulation,nan,2018-12-06,1.11,4.1
Shopping List S PRO,SHOPPING,4,14,2700000,100,False,2.49,Everyone,Shopping,nan,2018-05-16,2.10,4.1
Tinder,LIFESTYLE,4,2789775,68000000,100000000,True,0.0,Mature 17+,Lifestyle,nan,2018-02-08,9.5.0,4.4
"Topbuzz: Breaking News, Videos & Funny GIFs",NEWS_AND_MAGAZINES,4,174827,25000000,10000000,True,0.0,Mature 17+,News & Magazines,nan,2018-04-08,6.7.3,4.0
Dino T-Rex,GAME,4,69115,2400000,10000000,True,0.0,Everyone,Arcade,nan,2018-06-13,1.36,4.1
AT&T U-verse,FAMILY,3,38606,96000000,1000000,True,0.0,Everyone,Entertainment,nan,2018-06-13,5.9.0.0031,4.1
T Uploader,FAMILY,4,75,2200000,10000,True,0.0,Everyone,Education,nan,2017-11-24,0.1.5,4.0
T-Mobile DIGITS,COMMUNICATION,3,1820,33000000,100000,True,0.0,Everyone,Communication,nan,2018-02-15,1.1.50,4.4
DIRECTV Remote App,FAMILY,3,480,19000000,1000000,True,0.0,Everyone,Entertainment,nan,2017-08-31,2.40,6.0
T-Mobile Tuesdays,LIFESTYLE,4,53144,21000000,5000000,True,0.0,Everyone,Lifestyle,nan,2018-07-13,4.8.0,5.0
AT&T Mobile Transfer,PRODUCTIVITY,4,22775,26000000,10000000,True,0.0,Everyone,Productivity,nan,2018-07-31,3.8.2,4.4
T-Mobile Content Transfer,PRODUCTIVITY,4,370,29000000,500000,True,0.0,Everyone,Productivity,nan,2018-01-25,2.1.5,4.0
I Can't Wake Up!,TOOLS,4,963,3700000,10000,False,2.99,Everyone,Tools,nan,2018-05-25,3.4.0,4.0
AT&T FamilyMap®,TOOLS,3,21592,25000000,10000000,True,0.0,Everyone,Tools,nan,2017-10-24,10.1.1,4.0.3
T-Mobile® FamilyMode™,PARENTING,3,103,28000000,10000,True,0.0,Everyone,Parenting,nan,2018-06-29,1.0.2-alpha4,4.4
Portable Wi-Fi hotspot,COMMUNICATION,3,138129,2100000,10000000,True,0.0,Everyone,Communication,nan,2018-06-05,1.5.2.4-23,2.3
AT&T Call Protect,COMMUNICATION,4,6454,15000000,5000000,True,0.0,Everyone,Communication,nan,2018-03-05,1.5.13-3598,5.0
Don't Starve: Pocket Edition,GAME,4,17988,7900000,100000,False,4.99,Teen,Adventure,nan,2018-07-25,1.06,5.0
"Please, Don't Touch Anything",FAMILY,4,1771,46000000,10000,False,4.99,Teen,Puzzle,nan,2016-04-20,1.1.0,2.3
AT&T DriveMode,MAPS_AND_NAVIGATION,3,8465,8900000,10000000,True,0.0,Everyone,Maps & Navigation,nan,2018-03-05,1.0.4.3,4.1
The T Factor,EVENTS,4,48,13000000,1000,True,0.0,Everyone,Events,nan,2017-09-26,8.8,4.2
Please Don't Touch Anything 3D,FAMILY,4,146,20000000,5000,False,5.99,Teen,Puzzle,nan,2016-07-12,1.1,4.4
Don't touch my phone,TOOLS,3,21943,2300000,5000000,True,0.0,Everyone,Tools,nan,2016-10-19,30,2.3
Don't Starve: Shipwrecked,GAME,4,1468,4900000,10000,False,4.99,Teen,Adventure,nan,2018-10-07,0.16,5.0
Ludo - Don't get angry,GAME,4,131,23000000,1000,False,1.61,Everyone,Board,nan,2016-02-24,1.6.3,2.3.3
Jurassic Life: T Rex Simulator,FAMILY,4,1088,35000000,10000,False,0.99,Everyone 10+,Simulation,nan,2014-08-19,1.2,2.0.1
T-Mobile SyncUP DRIVE,AUTO_AND_VEHICLES,4,1981,18000000,100000,True,0.0,Everyone,Auto & Vehicles,nan,2018-01-08,2.15.1.4,5.0
T-shirt design - Snaptee,LIFESTYLE,4,29756,45000000,1000000,True,0.0,Everyone,Lifestyle,nan,2018-07-19,1.1.6.1,4.1
MBTA GPS - Track the T,MAPS_AND_NAVIGATION,3,82,5600000,5000,True,0.0,Everyone,Maps & Navigation,nan,2018-02-23,5.1.0,4.1
T. Rowe Price Personal® App,FINANCE,4,1057,4500000,50000,True,0.0,Everyone,Finance,nan,2018-06-07,1.7,6.0
Můj T-Mobile Business,PRODUCTIVITY,3,10490,5800000,1000000,True,0.0,Everyone,Productivity,nan,2018-07-24,3.1.7,4.1
U by BB&T,FINANCE,4,16600,24000000,1000000,True,0.0,Everyone,Finance,nan,2018-06-19,1.7.7,4.4
U LIVE – Video Chat & Stream,SOCIAL,4,67611,21000000,1000000,True,0.0,Mature 17+,Social,nan,2018-04-23,263.16.29,4.0.3
"U - Webinars, Meetings & Messenger",COMMUNICATION,4,6601,31000000,500000,True,0.0,Everyone,Communication,nan,2018-02-07,4.7.0,4.1
Hollywood U: Rising Stars,FAMILY,4,233588,74000000,5000000,True,0.0,Teen,Simulation,nan,2017-04-21,3.8.0,4.0.3
U-Dictionary: Best English Learning Dictionary,FAMILY,4,166886,21000000,10000000,True,0.0,Everyone 10+,Education,nan,2018-07-29,3.6.2,4.0.3
Ustream,VIDEO_PLAYERS,4,93638,7300000,10000000,True,0.0,Mature 17+,Video Players & Editors,nan,2018-11-07,3.2.2,4.1
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4,3648765,3300000,100000000,True,0.0,Teen,Communication,nan,2018-07-18,11.4.0,4.0
ENCHANT U,FAMILY,4,83977,11000000,500000,True,0.0,Everyone,Casual,nan,2012-08-11,1.2.2,2.1
/u/app,COMMUNICATION,4,573,53000000,10000,True,0.0,Mature 17+,Communication,nan,2018-03-07,4.2.4,4.1
Kicker U,LIFESTYLE,4,124,37000000,5000,False,3.99,Everyone,Lifestyle,nan,2018-06-13,3.04,4.0.3
U-Haul,TRAVEL_AND_LOCAL,3,852,37000000,100000,True,0.0,Everyone,Travel & Local,nan,2018-07-31,2.2.1,4.4
Vienna U-Bahn,MAPS_AND_NAVIGATION,3,139,2000000,10000,True,0.0,Everyone,Maps & Navigation,nan,2018-07-25,1.21.0,4.0
Kicker U Lite,LIFESTYLE,4,438,26000000,50000,True,0.0,Everyone,Lifestyle,nan,2013-09-27,2.0.0,2.1
U-Scan,TOOLS,3,784,42000000,50000,True,0.0,Everyone,Tools,nan,2016-09-29,1.2.6 (94),2.2
Octo U: Your driving companion,TRAVEL_AND_LOCAL,3,331,7800000,50000,True,0.0,Everyone,Travel & Local,nan,2018-03-13,1.1.47,4.3
I Love U Theme&Emoji Keyboard,PERSONALIZATION,4,655,3500000,100000,True,0.0,Everyone,Personalization,nan,2018-08-05,4.3,4.1
Channel U,FAMILY,4,34,14000000,1000,True,0.0,Everyone,Entertainment,nan,2018-05-21,1.3,4.1
"Parallel U - App Cloner, Duals APP, tarallel",TOOLS,4,3315,5100000,500000,True,0.0,Everyone,Tools,nan,2018-05-15,1.0.24,4.1
U Pull It Auto Dismantler,BUSINESS,3,71,1900000,10000,True,0.0,Everyone,Business,nan,2013-05-14,1.0,1.6
Wii U Simulator,FAMILY,3,1178,38000000,100000,True,0.0,Everyone 10+,Simulation,nan,2018-08-04,1.0.1,5.0
U Camera : Phone 6s OS 9 style,PHOTOGRAPHY,4,2158,3000000,500000,True,0.0,Everyone,Photography,nan,2017-08-28,1.0.3,4.0
U get - Wireless Speed Test,TOOLS,4,26,2200000,5000,True,0.0,Everyone,Tools,nan,2018-04-06,1.3.5,4.0
U Guard,TOOLS,3,245,3500000,10000,True,0.0,Everyone,Tools,nan,2016-08-31,1.1.6.6,2.3
DRC Sim - Wii U Gamepad,FAMILY,2,210,4000000,10000,True,0.0,Everyone,Casual,nan,2017-06-25,2.0,2.3
"See U - Random video chat, video chat",SOCIAL,4,568,27000000,100000,True,0.0,Mature 17+,Social,nan,2018-04-13,1.4.1,4.1
[verify-U] VideoIdent,COMMUNICATION,2,83,13000000,10000,True,0.0,Everyone,Communication,nan,2018-04-26,2.4.0,5.0
What U See,SOCIAL,4,712,21000000,100000,True,0.0,Teen,Social,nan,2018-05-03,2.3.9,4.1
U Assist - Screen Mirroring & Sharing App,PRODUCTIVITY,4,198,3500000,50000,True,0.0,Everyone,Productivity,nan,2017-01-26,2.0.16,2.3
U+Box,PRODUCTIVITY,3,24517,22000000,10000000,True,0.0,Everyone,Productivity,nan,2018-05-23,4.2.17,5.0
Wi u Emulator,FAMILY,2,468,7200000,10000,True,0.0,Everyone,Entertainment,nan,2018-03-03,0.0.1,4.1
Waiting For U Launcher Theme,PERSONALIZATION,4,5599,4800000,500000,True,0.0,Everyone,Personalization,nan,2016-07-23,2.0.40,2.3
U of I Community Credit Union,FINANCE,3,52,13000000,5000,True,0.0,Everyone,Finance,nan,2018-04-05,4.16.10,4.4
U-Report,SOCIAL,4,241,7500000,10000,True,0.0,Teen,Social,nan,2018-10-04,2.8.4,4.0.3
"Meet U - Get Friends for Snapchat, Kik & Instagram",SOCIAL,4,4435,5400000,100000,True,0.0,Mature 17+,Social,nan,2018-05-25,1.0.3386,4.0.3
U-Craft Mobile,FAMILY,4,11404,30000000,100000,True,0.0,Everyone,Strategy,nan,2017-11-09,1.0.14,4.0.3
U-Disco,FAMILY,3,906,196000,100000,True,0.0,Everyone,Entertainment,nan,2014-05-02,1.7.3,2.3
Be U Salons Hair-Beauty Deals In Delhi & Bangalore,LIFESTYLE,4,889,16000000,100000,True,0.0,Everyone,Lifestyle,nan,2018-02-08,1.1.4.38,4.2
U-48 Submarine Commander Free,GAME,3,4575,3800000,500000,True,0.0,Everyone,Arcade,nan,2017-07-10,1.24,4.0.3
Berlin Subway – BVG U-Bahn & S-Bahn map and routes,MAPS_AND_NAVIGATION,4,509,17000000,100000,True,0.0,Everyone,Maps & Navigation,nan,2018-06-06,1.0.7,5.0
Remote For ATT U-verse TV - NOW FREE,TOOLS,2,20,26000000,5000,True,0.0,Everyone,Tools,nan,2018-07-25,6.1.5,4.2
Pocket U ASW,FAMILY,3,93,28000000,10000,True,0.0,Everyone,Education,nan,2018-07-25,3.0.6,4.2
Identity V,GAME,4,109263,38000000,1000000,True,0.0,Teen,Action,nan,2018-10-07,1.0.144431,4.1
VMate,VIDEO_PLAYERS,4,192677,17000000,50000000,True,0.0,Teen,Video Players & Editors,nan,2018-03-08,1.78,4.0.3
V Made,BOOKS_AND_REFERENCE,4,241,20000000,100000,True,0.0,Everyone,Books & Reference,nan,2018-02-13,1.0,4.0.3
Grand Theft Auto V: The Manual,FAMILY,4,182103,6900000,5000000,True,0.0,Teen,Entertainment,nan,2018-07-31,5.0.12,3.0
V for Voodoo,GAME,4,16876,59000000,1000000,True,0.0,Teen,Trivia,nan,2018-06-28,3.0.1,6.0
The Gang Sniper V. Pocket Edition.,GAME,3,6121,61000000,500000,True,0.0,Mature 17+,Action,nan,2018-06-20,2.1,4.1
All Video Downloader,VIDEO_PLAYERS,3,165723,1600000,10000000,True,0.0,Everyone,Video Players & Editors,nan,2018-04-08,7.5.9,4.0
VidPlay,VIDEO_PLAYERS,4,3546,3700000,1000000,True,0.0,Everyone,Video Players & Editors,nan,2018-05-27,2.0.19,4.1
HD Video Downloader : 2018 Best video mate,VIDEO_PLAYERS,3,430643,4900000,50000000,True,0.0,Everyone,Video Players & Editors,nan,2018-05-31,2.5.0,4.1
V-CUBE Seminar Mobile,BUSINESS,4,542,30000000,100000,True,0.0,Everyone,Business,nan,2018-04-17,1.23.0,4.0
VivaVideo - Video Editor & Photo Movie,VIDEO_PLAYERS,4,9879473,40000000,100000000,True,0.0,Teen,Video Players & Editors,nan,2018-04-08,7.2.1,4.1
Mod GTA V for MCPE,FAMILY,3,4288,10000000,500000,True,0.0,Everyone,Entertainment,nan,2018-04-23,1.2.3.4.5,4.0.3
Vi Trainer,HEALTH_AND_FITNESS,3,124,100000000,5000,True,0.0,Everyone,Health & Fitness,nan,2018-02-08,2.0.0.11,5.0
San Andreas: Gang Crime V,GAME,4,2399,42000000,100000,True,0.0,Mature 17+,Action,nan,2018-01-28,1.0.1,2.3
The Grand Bike V,FAMILY,3,3478,95000000,1000000,True,0.0,Everyone,Simulation,nan,2018-02-24,4.0,4.1
V.360° Camera,PHOTOGRAPHY,3,582,28000000,100000,True,0.0,Everyone,Photography,nan,2015-11-09,1.1.6,4.4
FINAL FANTASY V,FAMILY,4,15924,4200000,100000,False,7.99,Teen,Role Playing,nan,2017-03-15,1.2.1,4.0
BTS V LINE Launcher theme,PERSONALIZATION,4,3283,3600000,100000,True,0.0,Everyone,Personalization,nan,2014-10-17,4.1,4.0.3
VMate Lite - Funny Short Videos Social Network,SOCIAL,4,903,4600000,1000000,True,0.0,Teen,Social,nan,2018-03-08,1.76,4.0.3
Mirk V Launcher Theme,PERSONALIZATION,4,292,7900000,10000,True,0.0,Everyone,Personalization,nan,2017-03-15,v1.0.50,2.3
The grand theft V Wallpaper,PERSONALIZATION,3,87,4300000,10000,True,0.0,Everyone 10+,Personalization,nan,2018-05-06,1.1,4.0.3
V Bucks ProTips New,SOCIAL,4,594,3600000,1000,True,0.0,Everyone,Social,nan,2018-07-19,1.0,2.1
Cheats for GTA V,FAMILY,4,450,5900000,100000,True,0.0,Everyone,Entertainment,nan,2018-07-29,6,4.0
V for Vampire - Free,FAMILY,4,2772,35000000,500000,True,0.0,Teen,Puzzle,nan,2014-09-20,1.0.1,2.1
Get Free V-bucks_fortnite Hints,FAMILY,4,1997,1800000,5000,True,0.0,Everyone,Entertainment,nan,2018-07-21,1.0,4.4
V BTS Wallpaper,PERSONALIZATION,4,127,9500000,5000,True,0.0,Everyone,Personalization,nan,2018-04-05,8.0,3.0
v-view,FAMILY,3,309,19000000,10000,True,0.0,Everyone,Entertainment,nan,2017-06-22,1.1.0.0402,4.2
Mental Hospital V,GAME,4,2460,25000000,50000,False,0.99,Mature 17+,Action,nan,2016-11-19,1.04,4.2
Grand Stickman Cover V,GAME,4,1744,37000000,100000,True,0.0,Mature 17+,Action,nan,2018-05-19,1.0.1,4.1
Cheat Codes for GTA V,FAMILY,4,589,3600000,100000,True,0.0,Mature 17+,Entertainment,nan,2017-03-09,1.8.0,4.0
DRAGON QUEST V,FAMILY,4,1667,17000000,10000,False,14.99,Teen,Role Playing,nan,2018-01-08,1.0.3,2.3
Easy V-Bux free,FAMILY,4,856,2900000,5000,True,0.0,Everyone,Entertainment,nan,2018-07-17,1.0,2.1
BTS V Kim Taehyung Wallpapers Kpop HD New,PERSONALIZATION,4,51,3400000,5000,True,0.0,Everyone,Personalization,nan,2018-10-06,1.1.1,4.0
W Pro - Weather Forecast & Animated Weather Maps,WEATHER,3,11,2900000,500,False,1.99,Everyone,Weather,nan,2018-04-23,1.0,4.1
W - Weather Forecast & Animated Radar Maps,WEATHER,4,29,3500000,5000,True,0.0,Everyone,Weather,nan,2018-04-23,1.1,4.1
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",PRODUCTIVITY,4,1507205,37000000,100000000,True,0.0,Everyone,Productivity,nan,2018-07-30,11.1.3,4.0
W-History Standalone,SOCIAL,3,38,1500000,1000,False,0.99,Everyone,Social,nan,2018-09-03,1.935,7.0
Fantasy Squad W,FAMILY,4,2142,47000000,50000,True,0.0,Everyone 10+,Role Playing,nan,2018-04-16,1.5.4,4.1
Weather & Clock Widget for Android,WEATHER,4,2371543,11000000,50000000,True,0.0,Everyone,Weather,nan,2018-04-06,5.9.4.0,4.0.3
W Box VMS,VIDEO_PLAYERS,1,105,9100000,10000,True,0.0,Everyone,Video Players & Editors,nan,2017-09-01,4.0.4,2.3.3
WhatsApp Business,COMMUNICATION,4,137144,32000000,10000000,True,0.0,Everyone,Communication,nan,2018-07-30,2.18.116,4.0.3
W Box VMS HD,VIDEO_PLAYERS,2,24,16000000,5000,True,0.0,Everyone,Video Players & Editors,nan,2017-04-01,4.0.3,3.0
Ace Screen Recorder w facecam,TOOLS,4,2447,2500000,100000,True,0.0,Everyone,Tools,nan,2017-12-26,1.19,5.0
WIFI WPS WPA TESTER,TOOLS,4,352097,6700000,10000000,True,0.0,Everyone,Tools,nan,2018-12-06,3.8.5,4.0
Flashlight Free w/ compass,TOOLS,4,75,1900000,10000,True,0.0,Everyone,Tools,nan,2017-03-15,2.5,2.2
IRS W-9 form,BUSINESS,4,492,27000000,10000,True,0.0,Everyone,Business,nan,2018-07-26,1.7.11,5.0
Open in WhatsApp (click to chat),TOOLS,4,12121,79000,1000000,True,0.0,Everyone,Tools,nan,2018-01-08,1.12,2.3.3
B & W Filter for Photo Editor Pro,PERSONALIZATION,4,65,7600000,5000,True,0.0,Everyone,Personalization,nan,2018-02-05,1.0.1,4.1
WowBox,LIFESTYLE,4,101957,8199999,5000000,True,0.0,Everyone,Lifestyle,nan,2018-04-23,2.11.0,4.0.3
Zaatar w Zeit,FOOD_AND_DRINK,4,205,33000000,50000,True,0.0,Everyone,Food & Drink,nan,2018-01-07,2.2.2,4.4
WPSApp,TOOLS,4,95080,3100000,10000000,True,0.0,Everyone,Tools,nan,2018-03-08,1.6.22,4.1
WhatsCall Free Global Phone Call App & Cheap Calls,COMMUNICATION,4,1130966,27000000,10000000,True,0.0,Everyone,Communication,nan,2018-06-06,1.9.1.013,4.0
Profile w/o crop for Telegram,PHOTOGRAPHY,4,348,1500000,10000,True,0.0,Everyone,Photography,nan,2014-11-04,3.1.50,2.3.3
weather HD,PERSONALIZATION,4,1546,4500000,10000,False,1.99,Everyone,Personalization,nan,2014-02-26,3.1,2.1
Draw Something Classic,GAME,4,1092106,43000000,50000000,True,0.0,Everyone,Word,nan,2018-07-28,2.400.022,4.4
X-VPN - Free Unlimited VPN Proxy,TOOLS,4,40617,21000000,5000000,True,0.0,Everyone,Tools,nan,2018-07-31,65.0,4.1
X Launcher: With OS11 Style Theme & Control Center,ART_AND_DESIGN,4,5754,4400000,100000,True,0.0,Everyone,Art & Design,nan,2018-07-30,2.1.2,4.1
"Phone X Launcher, OS 11 iLauncher & Control Center",TOOLS,4,54063,16000000,5000000,True,0.0,Everyone,Tools,nan,2018-01-06,2.7.2,4.1
Lock Screen Phone X Style OS 11,TOOLS,4,1166,13000000,100000,True,0.0,Everyone,Tools,nan,2018-03-26,8.8,4.3
Nose Doctor X: Booger Mania,FAMILY,3,37584,34000000,5000000,True,0.0,Everyone,Casual,Pretend Play,2016-08-31,1.0.8,4.1
Control Center iOS 11 - Phone X Control Panel,TOOLS,4,1925,8300000,100000,True,0.0,Everyone,Tools,nan,2017-11-15,3.1,4.4
X Browser,COMMUNICATION,4,142,2500000,50000,True,0.0,Everyone,Communication,nan,2017-12-31,1.1.1,4.0
"X Launcher Pro: PhoneX Theme, OS11 Control Center",ART_AND_DESIGN,4,801,3500000,5000,False,1.99,Everyone,Art & Design,nan,2018-07-30,2.1.2,4.1
X-plore File Manager,TOOLS,4,168487,6400000,10000000,True,0.0,Everyone,Tools,nan,2018-06-26,4.01.00,4.3
Flashlight X,TOOLS,4,20418,4300000,1000000,True,0.0,Everyone,Tools,nan,2018-08-04,4.54,4.0
iSwipe Phone X,TOOLS,4,58366,6300000,1000000,True,0.0,Everyone,Tools,nan,2017-07-12,1.0,4.1
X Launcher Pro - IOS Style Theme & Control Center,ART_AND_DESIGN,4,1216,8600000,10000,False,1.99,Everyone,Art & Design,nan,2018-06-26,1.0.0,4.1
X Home Bar - Free,TOOLS,4,4210,1900000,100000,True,0.0,Everyone,Tools,nan,2018-06-18,1.5.0,4.1
[ROOT] X Privacy Installer,TOOLS,4,12147,118000,1000000,True,0.0,Everyone,Tools,nan,2015-01-25,1.18,4.0.3
Extreme X Ray Robot Stunts,GAME,4,10806,49000000,5000000,True,0.0,Everyone,Racing,nan,2017-09-05,1.5.1,4.0
Xray Scanner Prank,FAMILY,3,355837,3700000,10000000,True,0.0,Everyone,Entertainment,nan,2016-07-12,14.0,2.3
X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4,149,3500000,1000,False,1.99,Everyone,Art & Design,nan,2018-07-30,1.2.2,4.1
The X-Files: Deep State - Hidden Object Adventure,FAMILY,4,22018,53000000,500000,True,0.0,Teen,Casual,nan,2018-07-18,2.6.1,5.0
Theme for Iphone X Plus,PERSONALIZATION,4,126,8000000,10000,True,0.0,Everyone,Personalization,nan,2017-10-19,1.0,2.3.3
X-WOLF,GAME,4,4878,27000000,100000,True,0.0,Everyone 10+,Adventure,nan,2018-02-02,1.2.0,4.1
Light X - Icon Pack,PERSONALIZATION,4,252,24000000,10000,False,0.99,Everyone,Personalization,nan,2018-06-13,1.6.1,4.1
Anime X Wallpaper,PERSONALIZATION,4,32613,3200000,1000000,True,0.0,Everyone,Personalization,nan,2018-05-31,3.11,4.1
NEW Theme for Phone X,PERSONALIZATION,4,8642,3700000,500000,True,0.0,Everyone,Personalization,nan,2018-05-22,1.1.6,4.0
X-Plane to GPS,TOOLS,4,161,1200000,5000,False,0.99,Everyone,Tools,nan,2018-04-03,1.62,4.4
Control Center iOS 11 - Phone X notifications,TOOLS,4,514,8400000,50000,True,0.0,Everyone,Tools,nan,2018-12-02,1.8,4.4
iLocker X - iOS11 Lockscreen with HD Wallpapers,PERSONALIZATION,4,1714,31000000,100000,True,0.0,Everyone,Personalization,nan,2018-06-19,1.4.7,4.1
Hero Fighter X,GAME,4,24210,45000000,500000,True,0.0,Teen,Action,nan,2015-11-13,1.091,2.2
Slendrina X,GAME,4,12736,56000000,1000000,True,0.0,Teen,Arcade,nan,2017-12-18,1.02,4.0
X Back - Icon Pack,PERSONALIZATION,4,56,26000000,10000,False,0.99,Everyone,Personalization,nan,2018-06-29,1.6.2,4.1
Guide (for X-MEN),BOOKS_AND_REFERENCE,4,586,17000000,100000,True,0.0,Everyone,Books & Reference,nan,2017-08-05,1.1.1,3.0
"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,4,60,6900000,1000,False,3.99,Everyone,Tools,nan,2018-11-07,4.4.1,4.1
Robocar X Ray,GAME,4,3432,99000000,1000000,True,0.0,Mature 17+,Action,nan,2017-01-23,1.0,2.3
Space X: Sky Wars of Air Force,GAME,4,10748,47000000,1000000,True,0.0,Everyone,Arcade,nan,2018-04-08,4.0,4.1
OS-X EMUI 4/5/8 THEME,PERSONALIZATION,3,916,36000000,100000,True,0.0,Everyone,Personalization,nan,2018-05-02,5,4.4
Flexiroam X,TRAVEL_AND_LOCAL,4,875,21000000,100000,True,0.0,Everyone,Travel & Local,nan,2018-03-08,3.5.3,4.1
X-ray scanner simulator,FAMILY,2,1616,3000000,500000,True,0.0,Everyone,Casual,nan,2017-08-01,7.0,2.1
X Construction,FAMILY,4,18612,8500000,100000,False,1.49,Everyone,Puzzle,nan,2015-07-28,1.57,2.3
X Home Bar - Home Bar Gesture Pro,TOOLS,4,88,2000000,10000,False,1.99,Everyone,Tools,nan,2018-02-07,1.5,4.3
PLAYBULB X,LIFESTYLE,2,2160,15000000,100000,True,0.0,Everyone,Lifestyle,nan,2018-06-25,1.6.5,4.3
X-Wing Squadron Builder,FAMILY,4,5898,50000000,100000,True,0.0,Everyone,Entertainment,nan,2017-01-08,3.3.8.03082017,1.6
YouTube TV - Watch & Record Live TV,FAMILY,4,38517,17000000,1000000,True,0.0,Teen,Entertainment,nan,2018-02-08,2.29.2,5.0
JW Caleb y Sofia,FAMILY,4,5227,1900000,500000,True,0.0,Everyone,Education,nan,2015-11-20,1.0,4.0.3
Boomerang Make and Race,FAMILY,4,281448,70000000,10000000,True,0.0,Everyone,Racing,Action & Adventure,2018-01-06,1.5.0,4.0
